"Date","Age Group","Sex","Sinovac 1st dose","Sinovac 2nd dose","Sinovac 3rd dose","BioNTech 1st dose","BioNTech 2nd dose","BioNTech 3rd dose"
"2021-03-09","20-29","F","71","0","0","32","0","0"
"2021-03-09","20-29","M","108","0","0","44","0","0"
"2021-03-09","30-39","F","211","0","0","72","0","0"
"2021-03-09","30-39","M","316","0","0","142","0","0"
"2021-03-09","40-49","F","557","0","0","127","0","0"
"2021-03-09","40-49","M","725","1","0","140","0","0"
"2021-03-09","50-59","F","601","0","0","121","0","0"
"2021-03-09","50-59","M","894","0","0","144","0","0"
"2021-03-09","60-69","F","1290","0","0","19","0","0"
"2021-03-09","60-69","M","2335","0","0","36","0","0"
"2021-03-09","70-79","F","487","0","0","1","0","0"
"2021-03-09","70-79","M","871","0","0","0","0","0"
"2021-03-09","80 and above","F","129","0","0","0","0","0"
"2021-03-09","80 and above","M","187","0","0","0","0","0"
"2021-03-10","0-19","F","6","0","0","29","0","0"
"2021-03-10","0-19","M","15","0","0","42","0","0"
"2021-03-10","20-29","F","112","0","0","101","0","0"
"2021-03-10","20-29","M","264","0","0","147","0","0"
"2021-03-10","30-39","F","390","0","0","209","0","0"
"2021-03-10","30-39","M","729","0","0","467","0","0"
"2021-03-10","40-49","F","852","0","0","344","0","0"
"2021-03-10","40-49","M","1413","1","0","606","0","0"
"2021-03-10","50-59","F","787","0","0","256","0","0"
"2021-03-10","50-59","M","1760","0","0","504","0","0"
"2021-03-10","60-69","F","1125","0","0","742","0","0"
"2021-03-10","60-69","M","2109","0","0","1688","0","0"
"2021-03-10","70-79","F","420","0","0","267","0","0"
"2021-03-10","70-79","M","744","0","0","462","0","0"
"2021-03-10","80 and above","F","111","0","0","67","0","0"
"2021-03-10","80 and above","M","164","0","0","89","0","0"
"2021-03-11","0-19","F","12","0","0","28","0","0"
"2021-03-11","0-19","M","10","0","0","22","0","0"
"2021-03-11","20-29","F","102","0","0","71","0","0"
"2021-03-11","20-29","M","238","0","0","123","0","0"
"2021-03-11","30-39","F","309","0","0","212","0","0"
"2021-03-11","30-39","M","592","0","0","368","0","0"
"2021-03-11","40-49","F","800","0","0","321","0","0"
"2021-03-11","40-49","M","1062","0","0","531","0","0"
"2021-03-11","50-59","F","738","0","0","252","0","0"
"2021-03-11","50-59","M","1347","0","0","445","0","0"
"2021-03-11","60-69","F","1053","0","0","808","0","0"
"2021-03-11","60-69","M","1990","0","0","1641","0","0"
"2021-03-11","70-79","F","393","0","0","289","0","0"
"2021-03-11","70-79","M","704","0","0","489","0","0"
"2021-03-11","80 and above","F","101","0","0","76","0","0"
"2021-03-11","80 and above","M","146","0","0","87","0","0"
"2021-03-12","0-19","F","9","0","0","43","0","0"
"2021-03-12","0-19","M","9","0","0","56","0","0"
"2021-03-12","20-29","F","120","0","0","315","0","0"
"2021-03-12","20-29","M","189","0","0","407","0","0"
"2021-03-12","30-39","F","301","0","0","331","0","0"
"2021-03-12","30-39","M","490","0","0","558","0","0"
"2021-03-12","40-49","F","821","0","0","401","0","0"
"2021-03-12","40-49","M","1013","0","0","593","0","0"
"2021-03-12","50-59","F","769","0","0","297","0","0"
"2021-03-12","50-59","M","1343","0","0","507","0","0"
"2021-03-12","60-69","F","1161","0","0","776","0","0"
"2021-03-12","60-69","M","2110","0","0","1510","0","0"
"2021-03-12","70-79","F","357","0","0","271","0","0"
"2021-03-12","70-79","M","697","0","0","482","0","0"
"2021-03-12","80 and above","F","91","0","0","81","0","0"
"2021-03-12","80 and above","M","115","0","0","100","0","0"
"2021-03-13","0-19","F","5","0","0","43","0","0"
"2021-03-13","0-19","M","21","0","0","66","0","0"
"2021-03-13","20-29","F","143","0","0","264","0","0"
"2021-03-13","20-29","M","305","0","0","328","0","0"
"2021-03-13","30-39","F","329","0","0","328","0","0"
"2021-03-13","30-39","M","605","1","0","553","0","0"
"2021-03-13","40-49","F","808","0","0","503","0","0"
"2021-03-13","40-49","M","1073","0","0","692","0","0"
"2021-03-13","50-59","F","639","0","0","320","0","0"
"2021-03-13","50-59","M","1253","0","0","624","0","0"
"2021-03-13","60-69","F","827","0","0","630","0","0"
"2021-03-13","60-69","M","1486","0","0","1051","0","0"
"2021-03-13","70-79","F","323","0","0","287","0","0"
"2021-03-13","70-79","M","540","0","0","457","0","0"
"2021-03-13","80 and above","F","97","0","0","90","0","0"
"2021-03-13","80 and above","M","100","0","0","90","0","0"
"2021-03-14","0-19","F","5","0","0","41","0","0"
"2021-03-14","0-19","M","13","0","0","49","0","0"
"2021-03-14","20-29","F","107","0","0","157","0","0"
"2021-03-14","20-29","M","385","0","0","229","0","0"
"2021-03-14","30-39","F","275","0","0","272","0","0"
"2021-03-14","30-39","M","773","0","0","456","0","0"
"2021-03-14","40-49","F","685","0","0","368","0","0"
"2021-03-14","40-49","M","1417","0","0","591","0","0"
"2021-03-14","50-59","F","507","0","0","266","0","0"
"2021-03-14","50-59","M","1292","0","0","636","0","0"
"2021-03-14","60-69","F","499","0","0","567","0","0"
"2021-03-14","60-69","M","1267","0","0","1218","0","0"
"2021-03-14","70-79","F","233","0","0","239","0","0"
"2021-03-14","70-79","M","365","0","0","428","0","0"
"2021-03-14","80 and above","F","53","0","0","77","0","0"
"2021-03-14","80 and above","M","64","0","0","86","0","0"
"2021-03-15","0-19","F","3","0","0","40","0","0"
"2021-03-15","0-19","M","6","0","0","40","0","0"
"2021-03-15","20-29","F","132","0","0","236","0","0"
"2021-03-15","20-29","M","266","0","0","238","0","0"
"2021-03-15","30-39","F","390","0","0","313","0","0"
"2021-03-15","30-39","M","571","0","0","559","0","0"
"2021-03-15","40-49","F","918","0","0","375","0","0"
"2021-03-15","40-49","M","992","0","0","602","0","0"
"2021-03-15","50-59","F","715","0","0","297","0","0"
"2021-03-15","50-59","M","1276","0","0","600","0","0"
"2021-03-15","60-69","F","954","0","0","709","0","0"
"2021-03-15","60-69","M","1698","0","0","1489","0","0"
"2021-03-15","70-79","F","298","0","0","263","0","0"
"2021-03-15","70-79","M","591","0","0","465","0","0"
"2021-03-15","80 and above","F","63","0","0","82","0","0"
"2021-03-15","80 and above","M","93","0","0","89","0","0"
"2021-03-16","0-19","F","10","0","0","42","0","0"
"2021-03-16","0-19","M","7","0","0","58","0","0"
"2021-03-16","20-29","F","131","0","0","330","0","0"
"2021-03-16","20-29","M","228","0","0","530","0","0"
"2021-03-16","30-39","F","615","0","0","819","0","0"
"2021-03-16","30-39","M","622","0","0","1550","0","0"
"2021-03-16","40-49","F","1297","0","0","1021","0","0"
"2021-03-16","40-49","M","1100","0","0","1851","0","0"
"2021-03-16","50-59","F","1165","0","0","801","0","0"
"2021-03-16","50-59","M","1595","0","0","1811","0","0"
"2021-03-16","60-69","F","891","0","0","1025","0","0"
"2021-03-16","60-69","M","1583","0","0","2048","0","0"
"2021-03-16","70-79","F","276","0","0","335","0","0"
"2021-03-16","70-79","M","550","0","0","662","0","0"
"2021-03-16","80 and above","F","71","0","0","114","0","0"
"2021-03-16","80 and above","M","87","0","0","102","0","0"
"2021-03-17","0-19","F","12","0","0","45","0","0"
"2021-03-17","0-19","M","9","0","0","67","0","0"
"2021-03-17","20-29","F","214","0","0","299","0","0"
"2021-03-17","20-29","M","245","0","0","482","0","0"
"2021-03-17","30-39","F","1127","1","0","712","0","0"
"2021-03-17","30-39","M","1088","0","0","1160","0","0"
"2021-03-17","40-49","F","1828","0","0","923","0","0"
"2021-03-17","40-49","M","1665","0","0","1506","0","0"
"2021-03-17","50-59","F","1657","0","0","720","0","0"
"2021-03-17","50-59","M","2311","0","0","1477","0","0"
"2021-03-17","60-69","F","775","0","0","961","0","0"
"2021-03-17","60-69","M","1401","0","0","1827","0","0"
"2021-03-17","70-79","F","263","0","0","352","0","0"
"2021-03-17","70-79","M","483","0","0","616","0","0"
"2021-03-17","80 and above","F","65","0","0","96","0","0"
"2021-03-17","80 and above","M","104","0","0","109","0","0"
"2021-03-18","0-19","F","13","0","0","29","0","0"
"2021-03-18","0-19","M","10","0","0","51","0","0"
"2021-03-18","20-29","F","203","0","0","320","0","0"
"2021-03-18","20-29","M","262","1","0","446","0","0"
"2021-03-18","30-39","F","1014","0","0","727","0","0"
"2021-03-18","30-39","M","863","0","0","1103","0","0"
"2021-03-18","40-49","F","1763","0","0","944","0","0"
"2021-03-18","40-49","M","1389","0","0","1396","0","0"
"2021-03-18","50-59","F","1469","0","0","651","0","0"
"2021-03-18","50-59","M","1964","0","0","1294","0","0"
"2021-03-18","60-69","F","777","0","0","1005","0","0"
"2021-03-18","60-69","M","1313","0","0","1734","0","0"
"2021-03-18","70-79","F","211","0","0","326","0","0"
"2021-03-18","70-79","M","474","0","0","569","0","0"
"2021-03-18","80 and above","F","53","0","0","78","0","0"
"2021-03-18","80 and above","M","70","0","0","105","0","0"
"2021-03-19","0-19","F","11","0","0","165","0","0"
"2021-03-19","0-19","M","9","0","0","184","0","0"
"2021-03-19","20-29","F","208","0","0","412","0","0"
"2021-03-19","20-29","M","250","0","0","465","0","0"
"2021-03-19","30-39","F","1098","0","0","1567","0","0"
"2021-03-19","30-39","M","883","0","0","2122","0","0"
"2021-03-19","40-49","F","1731","0","0","1897","0","0"
"2021-03-19","40-49","M","1381","0","0","2534","0","0"
"2021-03-19","50-59","F","1511","0","0","1323","0","0"
"2021-03-19","50-59","M","1961","0","0","2092","0","0"
"2021-03-19","60-69","F","709","0","0","794","0","0"
"2021-03-19","60-69","M","1246","0","0","1314","0","0"
"2021-03-19","70-79","F","214","0","0","293","0","0"
"2021-03-19","70-79","M","433","0","0","484","0","0"
"2021-03-19","80 and above","F","60","0","0","81","0","0"
"2021-03-19","80 and above","M","90","0","0","82","0","0"
"2021-03-20","0-19","F","15","0","0","103","0","0"
"2021-03-20","0-19","M","19","0","0","143","0","0"
"2021-03-20","20-29","F","266","0","0","399","0","0"
"2021-03-20","20-29","M","344","0","0","466","0","0"
"2021-03-20","30-39","F","1095","0","0","1576","0","0"
"2021-03-20","30-39","M","1081","0","0","1972","0","0"
"2021-03-20","40-49","F","1644","0","0","1901","0","0"
"2021-03-20","40-49","M","1545","0","0","2265","0","0"
"2021-03-20","50-59","F","1302","0","0","1349","0","0"
"2021-03-20","50-59","M","1802","0","0","1919","0","0"
"2021-03-20","60-69","F","596","0","0","775","0","0"
"2021-03-20","60-69","M","910","0","0","1144","0","0"
"2021-03-20","70-79","F","230","0","0","358","0","0"
"2021-03-20","70-79","M","346","0","0","475","0","0"
"2021-03-20","80 and above","F","61","0","0","103","0","0"
"2021-03-20","80 and above","M","69","0","0","95","0","0"
"2021-03-21","0-19","F","6","0","0","116","0","0"
"2021-03-21","0-19","M","14","0","0","132","0","0"
"2021-03-21","20-29","F","149","0","0","374","0","0"
"2021-03-21","20-29","M","384","0","0","438","0","0"
"2021-03-21","30-39","F","701","0","0","1728","0","0"
"2021-03-21","30-39","M","995","0","0","2065","0","0"
"2021-03-21","40-49","F","1272","0","0","1813","0","0"
"2021-03-21","40-49","M","1482","0","0","2424","0","0"
"2021-03-21","50-59","F","827","0","0","1203","0","0"
"2021-03-21","50-59","M","1530","0","0","1980","0","0"
"2021-03-21","60-69","F","404","0","0","558","0","0"
"2021-03-21","60-69","M","875","0","0","1098","0","0"
"2021-03-21","70-79","F","135","0","0","298","0","0"
"2021-03-21","70-79","M","241","0","0","386","0","0"
"2021-03-21","80 and above","F","27","0","0","56","0","0"
"2021-03-21","80 and above","M","43","0","0","67","0","0"
"2021-03-22","0-19","F","5","0","0","82","0","0"
"2021-03-22","0-19","M","9","0","0","91","0","0"
"2021-03-22","20-29","F","170","0","0","378","0","0"
"2021-03-22","20-29","M","192","0","0","432","0","0"
"2021-03-22","30-39","F","857","0","0","1733","0","0"
"2021-03-22","30-39","M","703","1","0","2007","1","0"
"2021-03-22","40-49","F","1522","0","0","1941","0","0"
"2021-03-22","40-49","M","1088","10","0","2257","0","0"
"2021-03-22","50-59","F","1246","1","0","1378","0","0"
"2021-03-22","50-59","M","1665","10","0","2101","0","0"
"2021-03-22","60-69","F","680","5","0","719","0","0"
"2021-03-22","60-69","M","1193","7","0","1212","0","0"
"2021-03-22","70-79","F","247","1","0","231","0","0"
"2021-03-22","70-79","M","416","7","0","392","0","0"
"2021-03-22","80 and above","F","49","0","0","57","0","0"
"2021-03-22","80 and above","M","86","0","0","73","0","0"
"2021-03-23","0-19","F","7","0","0","100","0","0"
"2021-03-23","0-19","M","9","1","0","92","0","0"
"2021-03-23","20-29","F","175","3","0","386","0","0"
"2021-03-23","20-29","M","206","4","0","380","0","0"
"2021-03-23","30-39","F","720","9","0","1738","0","0"
"2021-03-23","30-39","M","572","26","0","1884","0","0"
"2021-03-23","40-49","F","1370","18","0","1993","0","0"
"2021-03-23","40-49","M","957","51","0","2110","0","0"
"2021-03-23","50-59","F","1100","15","0","1382","0","0"
"2021-03-23","50-59","M","1429","66","0","1999","0","0"
"2021-03-23","60-69","F","658","43","0","686","0","0"
"2021-03-23","60-69","M","1180","107","0","1059","0","0"
"2021-03-23","70-79","F","171","20","0","186","0","0"
"2021-03-23","70-79","M","380","21","0","325","0","0"
"2021-03-23","80 and above","F","33","5","0","44","0","0"
"2021-03-23","80 and above","M","51","6","0","56","0","0"
"2021-03-24","0-19","F","3","0","0","1","0","0"
"2021-03-24","0-19","M","7","0","0","3","0","0"
"2021-03-24","20-29","F","166","0","0","19","0","0"
"2021-03-24","20-29","M","230","0","0","18","0","0"
"2021-03-24","30-39","F","749","0","0","157","0","0"
"2021-03-24","30-39","M","543","2","0","163","0","0"
"2021-03-24","40-49","F","1334","4","0","180","0","0"
"2021-03-24","40-49","M","982","7","0","211","0","0"
"2021-03-24","50-59","F","1020","7","0","85","0","0"
"2021-03-24","50-59","M","1309","4","0","118","0","0"
"2021-03-24","60-69","F","580","4","0","35","0","0"
"2021-03-24","60-69","M","1081","2","0","55","0","0"
"2021-03-24","70-79","F","176","0","0","11","0","0"
"2021-03-24","70-79","M","363","2","0","16","0","0"
"2021-03-24","80 and above","F","47","0","0","4","0","0"
"2021-03-24","80 and above","M","72","0","0","5","0","0"
"2021-03-25","0-19","F","11","0","0","0","0","0"
"2021-03-25","0-19","M","16","0","0","0","0","0"
"2021-03-25","20-29","F","169","0","0","0","0","0"
"2021-03-25","20-29","M","214","1","0","0","0","0"
"2021-03-25","30-39","F","734","0","0","0","0","0"
"2021-03-25","30-39","M","529","3","0","0","0","0"
"2021-03-25","40-49","F","1324","3","0","0","0","0"
"2021-03-25","40-49","M","895","4","0","0","0","0"
"2021-03-25","50-59","F","1002","3","0","0","0","0"
"2021-03-25","50-59","M","1257","7","0","0","0","0"
"2021-03-25","60-69","F","492","1","0","0","0","0"
"2021-03-25","60-69","M","957","3","0","0","0","0"
"2021-03-25","70-79","F","181","1","0","0","0","0"
"2021-03-25","70-79","M","316","2","0","0","0","0"
"2021-03-25","80 and above","F","41","0","0","0","0","0"
"2021-03-25","80 and above","M","54","0","0","0","0","0"
"2021-03-26","0-19","F","12","10","0","0","0","0"
"2021-03-26","0-19","M","9","6","0","0","0","0"
"2021-03-26","20-29","F","211","38","0","0","0","0"
"2021-03-26","20-29","M","270","39","0","0","0","0"
"2021-03-26","30-39","F","790","84","0","0","0","0"
"2021-03-26","30-39","M","550","124","0","0","0","0"
"2021-03-26","40-49","F","1355","260","0","0","0","0"
"2021-03-26","40-49","M","933","349","0","0","0","0"
"2021-03-26","50-59","F","1045","265","0","0","0","0"
"2021-03-26","50-59","M","1223","462","0","0","0","0"
"2021-03-26","60-69","F","567","813","0","0","0","0"
"2021-03-26","60-69","M","928","1756","0","0","0","0"
"2021-03-26","70-79","F","188","304","0","0","0","0"
"2021-03-26","70-79","M","338","450","0","0","0","0"
"2021-03-26","80 and above","F","41","123","0","0","0","0"
"2021-03-26","80 and above","M","59","115","0","0","0","0"
"2021-03-27","0-19","F","12","18","0","0","0","0"
"2021-03-27","0-19","M","21","14","0","0","0","0"
"2021-03-27","20-29","F","194","59","0","0","0","0"
"2021-03-27","20-29","M","256","122","0","0","0","0"
"2021-03-27","30-39","F","762","157","0","0","0","0"
"2021-03-27","30-39","M","627","240","0","0","0","0"
"2021-03-27","40-49","F","1202","418","0","0","0","0"
"2021-03-27","40-49","M","949","717","0","0","0","0"
"2021-03-27","50-59","F","960","377","0","0","0","0"
"2021-03-27","50-59","M","1215","817","0","0","0","0"
"2021-03-27","60-69","F","425","710","0","0","0","0"
"2021-03-27","60-69","M","643","1386","0","0","0","0"
"2021-03-27","70-79","F","143","418","0","0","0","0"
"2021-03-27","70-79","M","232","539","0","0","0","0"
"2021-03-27","80 and above","F","36","179","0","0","0","0"
"2021-03-27","80 and above","M","55","137","0","0","0","0"
