13134.0_5.0,22.0
16998.0_4.0,23.0
32586.0_1.0,39.0
31423.0_3.0,8.0
20868.0_2.0,32.0
32673.0_2.0,46.0
330.0_3.0,22.0
21081.0_1.0,53.0
22483.0_4.0,22.0
23324.0_3.0,49.0
28307.0_3.0,40.0
8126.0_5.0,31.0
21745.0_3.0,30.0
27133.0_2.0,40.0
8499.0_3.0,16.0
18193.0_3.0,8.0
33847.0_3.0,21.0
23782.0_4.0,45.0
31108.0_4.0,40.0
28995.0_3.0,15.0
15415.0_3.0,12.0
23130.0_4.0,12.0
29365.0_1.0,55.0
30164.0_2.0,55.0
9971.0_4.0,10.0
3478.0_3.0,11.0
17137.0_3.0,7.0
32405.0_3.0,16.0
13503.0_1.0,49.0
24764.0_2.0,25.0
12905.0_3.0,16.0
34760.0_3.0,2.0
29644.0_1.0,35.0
5375.0_2.0,41.0
29749.0_1.0,56.0
27135.0_1.0,55.0
3702.0_1.0,64.0
14192.0_1.0,50.0
30721.0_1.0,22.0
7741.0_3.0,95.0
12521.0_1.0,86.0
8828.0_3.0,16.0
1794.0_1.0,77.0
33512.0_1.0,57.0
26486.0_2.0,56.0
31146.0_2.0,35.0
3796.0_2.0,48.0
10942.0_1.0,40.0
21640.0_1.0,35.0
31376.0_1.0,31.0
16100.0_1.0,36.0
102.0_3.0,5.0
22027.0_2.0,58.0
10539.0_2.0,39.0
14800.0_1.0,85.0
35234.0_1.0,49.0
27922.0_1.0,78.0
22398.0_3.0,14.0
13049.0_4.0,18.0
27363.0_1.0,36.0
23659.0_1.0,42.0
23887.0_4.0,4.0
18801.0_5.0,26.0
29872.0_1.0,24.0
7884.0_1.0,28.0
11749.0_2.0,77.0
33883.0_2.0,40.0
24380.0_3.0,1.0
6585.0_2.0,36.0
5934.0_1.0,33.0
17964.0_1.0,54.0
18014.0_2.0,13.0
3094.0_4.0,9.0
29593.0_1.0,57.0
13328.0_4.0,3.0
27084.0_1.0,60.0
18387.0_2.0,60.0
15609.0_1.0,48.0
33885.0_1.0,52.0
19821.0_1.0,70.0
17540.0_4.0,23.0
10383.0_2.0,53.0
31097.0_1.0,68.0
245.0_1.0,73.0
4127.0_2.0,70.0
25082.0_3.0,50.0
32251.0_3.0,22.0
24813.0_3.0,44.0
2825.0_3.0,7.0
13277.0_4.0,0.0
3199.0_3.0,27.0
12892.0_1.0,60.0
15453.0_1.0,50.0
15681.0_4.0,11.0
6480.0_3.0,20.0
28240.0_2.0,29.0
6357.0_2.0,45.0
12626.0_3.0,22.0
14471.0_1.0,54.0
11644.0_3.0,15.0
20113.0_1.0,54.0
23275.0_2.0,51.0
22025.0_3.0,19.0
2441.0_1.0,83.0
9743.0_1.0,88.0
